item_description,zip_code,store_name,volume_sold_liters
Juarez Gold Dss,52314,Wilkie Liquors,1560.0
Tortilla Gold Dss,50702,Sam's Club 6514 / Waterloo,768.0
Member's Mark Spiced Rum,50010,Sam's Club 6568 / Ames,504.0
Juarez Triple Sec,50314,Central City 2,240.0
Kahlua Coffee Liqueur,51106,Sam's Club 6432 / Sioux City,240.0
Montezuma Triple Sec,52402,Sam's Club 8162 / Cedar Rapids,216.0
Bacardi Gold Rum PET,50327,Fareway Stores #138 / Pleasant Hill,178.5
Juarez Triple Sec,51106,Sam's Club 6432 / Sioux City,144.0
Pinnacle Peach w/ Punch Dispenser,50703,Hy-Vee Food Store #2 / Waterloo,135.0
Di Amore Quattro Orange,50320,Hy-Vee #3 / BDI / Des Moines,120.0
Titos Vodka,50501,Hy-Vee Food Store / Fort Dodge,81.0
Saints N Sinners Apple Pie,50111,Fareway Stores #983 / Grimes,81.0
Tortilla Gold Dss,50320,Hy-Vee #3 / BDI / Des Moines,72.0
Avion Silver w/Powell & Mahoney Margarita Mix,50266,Hy-Vee Wine and Spirits / WDM,67.5
Cedar Ridge Single Malt Single Barrel Select,52338,Cedar Ridge Vineyards,67.5
Jagermeister w/2 Shot Glasses,50263,Hy-Vee / Waukee,63.0
Kapali Coffee Liqueur,51106,Sam's Club 6432 / Sioux City,63.0
Juarez Triple Sec,52240,Hy-Vee Wine and Spirits / Iowa City,60.0
Kahlua Coffee,50265,Fareway Stores #153  /  W Des Moines,54.0
Five O'clock Vodka,50461,Osage Payless Foods,52.5
Glen Oaks Whiskey Buy the Barrel,50320,Hy-Vee #3 / BDI / Des Moines,49.5
Juarez Triple Sec,51501,I-80 Liquor / Council Bluffs,48.0
Maestro Agavero Gold,52241,Hy-Vee Food Store / Coralville,48.0
Tortilla Gold Dss,51360,Hy-Vee Wine and Spirits / Spirit Lake,48.0
Hennessy Vs Cognac,50314,Central City 2,45.0
Jameson,50707,Fareway Stores #067 / Evansdale,45.0
Paramount Gold Rum,52732,Hy-Vee Food and Drug / Clinton,42.0
Kapali Coffee Liqueur,52627,Quicker Liquor Store,27.0
Everclear Alcohol,52411,Hy-Vee #7 / Cedar Rapids,27.0
HA Elijah Craig Cask Barrel Proof,50702,Hy-Vee Food Store #3 / Waterloo,13.5
Templeton Rye,52240,Hy-Vee Wine and Spirits / Iowa City,13.5
Basil Hayden Dark Rye,51401,Hy-Vee Food Store / Carroll,13.5
Ole Smoky Salty Caramel Whiskey,50401,Hy-Vee Food Store #1 / Mason City,13.5
Hennessy VS,50316,Tequila's Liquor Store,9.6
Five O'clock Vodka,52601,Quik Stop  /  Burlington,9.6
Bacardi Gold Mini,51401,Hy-Vee Food Store / Carroll,6.0
Dekuyper Triple Sec,51247,Pump N Pak,6.0
Kamora Coffee Liqueur,50158,Hy-Vee Food Store / Marshalltown,6.0
Juarez Triple Sec,52556,Hy-Vee Food Store / Fairfield,6.0
Kahlua Coffee,50158,Depot Liquor & Grocery,5.25
Paramount Gold Rum,52402,CVS Pharmacy #8526 / Cedar Rapids,5.25
Arrow Spearmint Schnapps,51246,Liquor Locker,5.0
Bacardi Gold Rum,50801,Fareway Stores #597 / Creston,5.0
Paul Masson Peach Grande Amber Brandy,50317,Hy-Vee Wine and Spirits / Hubbell,4.8
Paul Masson Peach Grande Amber Brandy,50314,Shop N Save #1 / Mlk Pkwy,4.8
Seagrams Extra Smooth,50703,Logan Convenience Store,4.8
Platinum 7x Vodka,50131,Hy-Vee Food Store / Johnston,4.8
Hennessy VS,52601,Burlington Shell,4.8
Hennessy VS,50158,East Side Liquor and Groceries,4.8
Hennessy VS,50703,"Ray's Supermarket, Inc.",4.8
Phillips Root Beer Schnapps,50588,Hy-Vee Wine and Spirits / Storm Lake,4.0
Paramount Triple Sec,50022,Hy-Vee Wine and Spirits / Atlantic,4.0
Paramount Sloe Gin,51401,Fareway Stores #409 / Carroll,4.0
Kamora Coffee Liqueur,52001,"Iowa Street Market, Inc.",4.0
Dekuyper Peachtree,52761,Nash Finch / Wholesale Food,4.0
Kahlua Coffee,51501,Speedy Gas N Shop,2.62
Bacardi Gold,50701,New Star Liquor / W 4th S / Waterloo,2.62
Bacardi Gold Rum Mini,52003,Sid's Beverage Shop,2.5
Ole Smoky Blackberry Moonshine Mini,50401,Hy-Vee Food Store #1 / Mason City,2.4
Ole Smoky Apple Pie Moonshine 70prf Mini,50662,Fareway Stores #412 / Oelwein,2.4
Remy Martin VSOP,50314,Shop N Save #1 / Mlk Pkwy,2.4
Paramount Gold Rum,51555,Food Land Super Markets,2.0
Bacardi Gold Mini,51501,Tobacco Hut #14 / Council Bluffs,2.0
Dekuyper Triple Sec,50701,Hy-Vee Wine and Spirits / Waterloo,2.0
Five O'clock Vodka,52136,The Ox & Wren Spirits and Gifts,2.0
99 Peppermint Mini,51501,Hy-Vee Drugstore / Council Bluffs,1.2
Everclear Alcohol,52803,Hilltop Grocery,1.12
Martell VSSD,52804,Famous Liquors,0.4
Kahlua Coffee,52172,Double D Liquor Store,0.37
Bacardi Gold,52241,Bootleggin' Barzini's Fin,0.37
Bacardi Gold,50703,Hy-Vee Food Store #2 / Waterloo,0.37
Bacardi Gold Mini,50701,New Star Liquor / W 4th S / Waterloo,0.2
